RegionID,RegionName,StateName,StateCodeFIPS,MunicipalCodeFIPS,year,zori,months,fips,rent_growth,lag_zori,population,net_migration,domestic_migration,lag_population,pop_growth,net_migration_rate,domestic_migration_rate,acs_population,median_income,median_gross_rent,housing_units,vacancy_rate,renter_share,unemployment_rate,supply_constraint,post2020,pop_growth_pp,net_migration_rate_pp,rent_growth_pct
1524,Autauga County,AL,1,1,2023,1627.0802343826065,12,01001,0.04717600598292737,1552.103542941128,60342,525,491,59726.0,0.01026094221140994,0.008790141646853966,0.008220875330676758,59947.0,72481.0,1263.0,25039.0,0.0847477934422301,0.2293930270105162,0.0239509770952434,-0.39112040874904513,1,1.026094221140994,0.8790141646853966,4.717600598292737
1525,Baldwin County,AL,1,3,2019,1148.551201690126,12,01003,0.042041517864363165,1101.2653156077167,223234,5377,5297,217855.0,0.024390844783010124,0.02468155424479585,0.024314337518073947,246989.0,78775.0,1277.0,132258.0,0.2546840266751349,0.2239637226854951,0.0302733626759064,-1.4639221375705713,0,2.4390844783010124,2.468155424479585,4.2041517864363165
1525,Baldwin County,AL,1,3,2020,1197.3973750913517,12,01003,0.04164902382142888,1148.551201690126,233227,1624,1613,223234.0,0.04379167956500574,0.007274877482820717,0.007225601834845947,246989.0,78775.0,1277.0,132258.0,0.2546840266751349,0.2239637226854951,0.0302733626759064,-1.4639221375705713,1,4.379167956500574,0.7274877482820717,4.164902382142888
1525,Baldwin County,AL,1,3,2021,1388.2746423637507,12,01003,0.1479113643161174,1197.3973750913517,239439,7077,6972,233227.0,0.026286458903827636,0.0303438281159557,0.02989362295103054,246989.0,78775.0,1277.0,132258.0,0.2546840266751349,0.2239637226854951,0.0302733626759064,-1.4639221375705713,1,2.6286458903827636,3.0343828115955698,14.79113643161174
1525,Baldwin County,AL,1,3,2022,1539.4029555522857,12,01003,0.10333293840481428,1388.2746423637507,246531,7286,7036,239439.0,0.02918905910052949,0.030429462201228705,0.029385354933824482,246989.0,78775.0,1277.0,132258.0,0.2546840266751349,0.2239637226854951,0.0302733626759064,-1.4639221375705713,1,2.918905910052949,3.0429462201228703,10.333293840481428
1525,Baldwin County,AL,1,3,2023,1590.1649481369623,12,01003,0.03244310176400056,1539.4029555522857,253507,7095,6804,246531.0,0.027903689837598833,0.028779342151696946,0.027598963213551236,246989.0,78775.0,1277.0,132258.0,0.2546840266751349,0.2239637226854951,0.0302733626759064,-1.4639221375705713,1,2.7903689837598833,2.8779342151696947,3.244310176400056
945,Coffee County,AL,1,31,2019,873.6156005801013,12,01031,0.04346278128573555,836.4591471117727,52342,368,334,51950.0,0.0075173905194940716,0.007083734359961501,0.006429258902791145,54920.0,68353.0,1018.0,24656.0,0.1489292667099286,0.2774018299656881,0.0508863941745047,-0.8576524261982491,0,0.7517390519494072,0.7083734359961501,4.346278128573555
945,Coffee County,AL,1,31,2020,922.7620661720098,12,01031,0.05473095550406892,873.6156005801013,53549,92,91,52342.0,0.022798014518341958,0.0017576707042145886,0.0017385655878644302,54920.0,68353.0,1018.0,24656.0,0.1489292667099286,0.2774018299656881,0.0508863941745047,-0.8576524261982491,1,2.279801451834196,0.17576707042145887,5.473095550406892
945,Coffee County,AL,1,31,2021,1040.2135385825238,12,01031,0.11980987847697655,922.7620661720098,54199,644,618,53549.0,0.012065335507820407,0.012026368372892117,0.011540831761564174,54920.0,68353.0,1018.0,24656.0,0.1489292667099286,0.2774018299656881,0.0508863941745047,-0.8576524261982491,1,1.2065335507820407,1.2026368372892118,11.980987847697655
945,Coffee County,AL,1,31,2022,1175.9674608678108,12,01031,0.12266516212654643,1040.2135385825238,54840,659,602,54199.0,0.011757396603220727,0.012158895920588941,0.011107216000295208,54920.0,68353.0,1018.0,24656.0,0.1489292667099286,0.2774018299656881,0.0508863941745047,-0.8576524261982491,1,1.1757396603220727,1.2158895920588941,12.266516212654643
